Name,Roll No,Reg No,Semester,Section,Year
Rohan Mehta,BTCE22R001,SBU229599,8,A,2025-2026
Garima Jain,BTCE22R002,SBU224194,8,A,2025-2026
Priya Tiwari,BTCE22R003,SBU223621,8,A,2025-2026
Swati Reddy,BTCE22R004,SBU225475,8,A,2025-2026
Harsh Mishra,BTCE22R005,SBU224664,8,A,2025-2026
Tanvi Patel,BTCE22R006,SBU228334,8,A,2025-2026
Gaurav Ghosh,BTCE22R007,SBU222547,8,A,2025-2026
Divya Chauhan,BTCE22R008,SBU229039,8,A,2025-2026
Priya Reddy,BTCE22R009,SBU225248,8,A,2025-2026
Sakshi Pandey,BTCE22R010,SBU224196,8,A,2025-2026
Jyoti Joshi,BTCE22R011,SBU226438,8,A,2025-2026
Rohan Yadav,BTCE22R012,SBU228729,8,A,2025-2026
Neha Bhatia,BTCE22R013,SBU220431,8,A,2025-2026
Tanvi Kumar,BTCE22R014,SBU222551,8,A,2025-2026
Simran Rao,BTCE22R015,SBU220338,8,A,2025-2026
Aarav Chauhan,BTCE22R016,SBU221350,8,A,2025-2026
Swati Joshi,BTCE22R017,SBU224199,8,A,2025-2026
Gaurav Reddy,BTCE22R018,SBU224453,8,A,2025-2026
Richa Verma,BTCE22R019,SBU229847,8,A,2025-2026
Sameer Jain,BTCE22R020,SBU220428,8,A,2025-2026
Ishita Kumar,BTCE22R021,SBU226869,8,A,2025-2026
Rahul Jain,BTCE22R022,SBU226390,8,A,2025-2026
Divya Rao,BTCE22R023,SBU223199,8,A,2025-2026
Vikram Bhatia,BTCE22R024,SBU220686,8,A,2025-2026
Pooja Chauhan,BTCE22R025,SBU224936,8,A,2025-2026
Richa Bhatia,BTCE22R026,SBU222680,8,B,2025-2026
Sakshi Desai,BTCE22R027,SBU224358,8,B,2025-2026
Ravi Mishra,BTCE22R028,SBU228514,8,B,2025-2026
Pooja Bansal,BTCE22R029,SBU222907,8,B,2025-2026
Saurabh Sen,BTCE22R030,SBU226598,8,B,2025-2026
Aditi Sen,BTCE22R031,SBU225202,8,B,2025-2026
Kavya Sen,BTCE22R032,SBU222003,8,B,2025-2026
Mohit Reddy,BTCE22R033,SBU222628,8,B,2025-2026
Rohit Desai,BTCE22R034,SBU227756,8,B,2025-2026
Arjun Bansal,BTCE22R035,SBU224530,8,B,2025-2026
Saurabh Malhotra,BTCE22R036,SBU228259,8,B,2025-2026
Karan Desai,BTCE22R037,SBU225940,8,B,2025-2026
Simran Patel,BTCE22R038,SBU222872,8,B,2025-2026
Kavya Pandey,BTCE22R039,SBU226940,8,B,2025-2026
Arjun Sen,BTCE22R040,SBU225580,8,B,2025-2026
Neha Chauhan,BTCE22R041,SBU228999,8,B,2025-2026
Naveen Kapoor,BTCE22R042,SBU223030,8,B,2025-2026
Shreya Bansal,BTCE22R043,SBU229375,8,B,2025-2026
Sneha Ghosh,BTCE22R044,SBU226975,8,B,2025-2026
Priya Patel,BTCE22R045,SBU221160,8,B,2025-2026
Sahil Verma,BTCE22R046,SBU220329,8,B,2025-2026
Yash Tiwari,BTCE22R047,SBU220779,8,B,2025-2026
Prateek Roy,BTCE22R048,SBU223868,8,B,2025-2026
Pooja Roy,BTCE22R049,SBU227967,8,B,2025-2026
Rahul Bhatia,BTCE22R050,SBU225388,8,B,2025-2026
Prateek Gupta,BTCE22R051,SBU226181,8,C,2025-2026
Richa Das,BTCE22R052,SBU229105,8,C,2025-2026
Aarav Singh,BTCE22R053,SBU228981,8,C,2025-2026
Yash Kumar,BTCE22R054,SBU223599,8,C,2025-2026
Rahul Reddy,BTCE22R055,SBU227363,8,C,2025-2026
Kunal Desai,BTCE22R056,SBU221234,8,C,2025-2026
Nikita Sharma,BTCE22R057,SBU227596,8,C,2025-2026
Swati Rajput,BTCE22R058,SBU225092,8,C,2025-2026
Nitin Desai,BTCE22R059,SBU224964,8,C,2025-2026
Aarav Reddy,BTCE22R060,SBU222226,8,C,2025-2026
Varun Bhatia,BTCE22R061,SBU226519,8,C,2025-2026
Aditi Gupta,BTCE22R062,SBU227622,8,C,2025-2026
Ravi Jain,BTCE22R063,SBU227448,8,C,2025-2026
Nitin Bhatia,BTCE22R064,SBU228319,8,C,2025-2026
Sneha Joshi,BTCE22R065,SBU222210,8,C,2025-2026
Sahil Verma,BTCE22R066,SBU222338,8,C,2025-2026
Simran Mishra,BTCE22R067,SBU228546,8,C,2025-2026
Ananya Tiwari,BTCE22R068,SBU223895,8,C,2025-2026
Sneha Desai,BTCE22R069,SBU220182,8,C,2025-2026
Harsh Gupta,BTCE22R070,SBU221657,8,C,2025-2026
Karan Ghosh,BTCE22R071,SBU228087,8,C,2025-2026
Gaurav Kumar,BTCE22R072,SBU222922,8,C,2025-2026
Megha Mishra,BTCE22R073,SBU221870,8,C,2025-2026
Manish Joshi,BTCE22R074,SBU221825,8,C,2025-2026
Tarun Mishra,BTCE22R075,SBU227435,8,C,2025-2026
Gaurav Rajput,BTCE22R076,SBU226089,8,D,2025-2026
Ishita Verma,BTCE22R077,SBU229324,8,D,2025-2026
Siddharth Roy,BTCE22R078,SBU226868,8,D,2025-2026
Naveen Bose,BTCE22R079,SBU225539,8,D,2025-2026
Gaurav Sharma,BTCE22R080,SBU220089,8,D,2025-2026
Sakshi Bansal,BTCE22R081,SBU221233,8,D,2025-2026
Amit Sen,BTCE22R082,SBU221977,8,D,2025-2026
Tanvi Das,BTCE22R083,SBU224413,8,D,2025-2026
Karan Jain,BTCE22R084,SBU227495,8,D,2025-2026
Kritika Roy,BTCE22R085,SBU222078,8,D,2025-2026
Nitin Kapoor,BTCE22R086,SBU221280,8,D,2025-2026
Rahul Sen,BTCE22R087,SBU226638,8,D,2025-2026
Yash Pandey,BTCE22R088,SBU226413,8,D,2025-2026
Anjali Rajput,BTCE22R089,SBU225153,8,D,2025-2026
Simran Pandey,BTCE22R090,SBU220491,8,D,2025-2026
