Name,Roll No,Reg No,Semester,Section,Year
Sanya Bansal,BCAX22R001,SBU221426,8,A,2025-2026
Sahil Bhatia,BCAX22R002,SBU228635,8,A,2025-2026
Richa Bose,BCAX22R003,SBU229889,8,A,2025-2026
Kritika Yadav,BCAX22R004,SBU222997,8,A,2025-2026
Richa Verma,BCAX22R005,SBU226746,8,A,2025-2026
Riya Rajput,BCAX22R006,SBU228633,8,A,2025-2026
Ananya Singh,BCAX22R007,SBU226871,8,A,2025-2026
Simran Sharma,BCAX22R008,SBU225850,8,A,2025-2026
Nitin Kaur,BCAX22R009,SBU221191,8,A,2025-2026
Siddharth Rajput,BCAX22R010,SBU223510,8,A,2025-2026
Sneha Patel,BCAX22R011,SBU228553,8,A,2025-2026
Richa Pandey,BCAX22R012,SBU226390,8,A,2025-2026
Kunal Reddy,BCAX22R013,SBU222548,8,A,2025-2026
Rohit Desai,BCAX22R014,SBU225311,8,A,2025-2026
Yash Pandey,BCAX22R015,SBU225561,8,A,2025-2026
Aditi Reddy,BCAX22R016,SBU220383,8,A,2025-2026
Tarun Joshi,BCAX22R017,SBU220537,8,A,2025-2026
Manish Patel,BCAX22R018,SBU220174,8,A,2025-2026
Riya Gupta,BCAX22R019,SBU223819,8,A,2025-2026
Vikram Yadav,BCAX22R020,SBU220463,8,A,2025-2026
Gaurav Pandey,BCAX22R021,SBU228693,8,A,2025-2026
Vikram Jain,BCAX22R022,SBU229686,8,A,2025-2026
Manish Chopra,BCAX22R023,SBU221049,8,A,2025-2026
Harsh Bhatia,BCAX22R024,SBU229389,8,A,2025-2026
Karan Bhatia,BCAX22R025,SBU223234,8,A,2025-2026
Sakshi Agarwal,BCAX22R026,SBU228097,8,B,2025-2026
Sameer Yadav,BCAX22R027,SBU220890,8,B,2025-2026
Varun Bose,BCAX22R028,SBU227578,8,B,2025-2026
Rohan Rao,BCAX22R029,SBU223179,8,B,2025-2026
Akash Rao,BCAX22R030,SBU228491,8,B,2025-2026
Ananya Agarwal,BCAX22R031,SBU221792,8,B,2025-2026
Rohit Mehta,BCAX22R032,SBU221137,8,B,2025-2026
Kritika Rao,BCAX22R033,SBU228238,8,B,2025-2026
Kritika Gupta,BCAX22R034,SBU227105,8,B,2025-2026
Shreya Kapoor,BCAX22R035,SBU220253,8,B,2025-2026
Nikita Desai,BCAX22R036,SBU221652,8,B,2025-2026
Tarun Singh,BCAX22R037,SBU228885,8,B,2025-2026
Jyoti Pandey,BCAX22R038,SBU227969,8,B,2025-2026
Arjun Agarwal,BCAX22R039,SBU220524,8,B,2025-2026
Naveen Kapoor,BCAX22R040,SBU224717,8,B,2025-2026
Swati Rao,BCAX22R041,SBU225184,8,B,2025-2026
Aarav Gupta,BCAX22R042,SBU228751,8,B,2025-2026
Priya Gupta,BCAX22R043,SBU227048,8,B,2025-2026
Kunal Kumar,BCAX22R044,SBU227767,8,B,2025-2026
Harsh Das,BCAX22R045,SBU226593,8,B,2025-2026
Kritika Kapoor,BCAX22R046,SBU223680,8,B,2025-2026
Neha Bose,BCAX22R047,SBU229273,8,B,2025-2026
Sahil Agarwal,BCAX22R048,SBU228551,8,B,2025-2026
Sahil Roy,BCAX22R049,SBU226300,8,B,2025-2026
Priya Malhotra,BCAX22R050,SBU223885,8,B,2025-2026
Sahil Ghosh,BCAX22R051,SBU222533,8,C,2025-2026
Priya Verma,BCAX22R052,SBU222948,8,C,2025-2026
Sanya Malhotra,BCAX22R053,SBU229383,8,C,2025-2026
Tarun Kumar,BCAX22R054,SBU223255,8,C,2025-2026
Yash Desai,BCAX22R055,SBU224907,8,C,2025-2026
Pooja Kaur,BCAX22R056,SBU220770,8,C,2025-2026
Tarun Patel,BCAX22R057,SBU228348,8,C,2025-2026
Riya Kaur,BCAX22R058,SBU226449,8,C,2025-2026
Pooja Sen,BCAX22R059,SBU224456,8,C,2025-2026
Varun Sharma,BCAX22R060,SBU229511,8,C,2025-2026
Megha Singh,BCAX22R061,SBU228186,8,C,2025-2026
Ishita Yadav,BCAX22R062,SBU220415,8,C,2025-2026
Vikram Bose,BCAX22R063,SBU221167,8,C,2025-2026
Rohit Malhotra,BCAX22R064,SBU220622,8,C,2025-2026
Siddharth Jain,BCAX22R065,SBU229692,8,C,2025-2026
Shreya Reddy,BCAX22R066,SBU224753,8,C,2025-2026
Siddharth Yadav,BCAX22R067,SBU226758,8,C,2025-2026
Varun Reddy,BCAX22R068,SBU227563,8,C,2025-2026
Aditi Tiwari,BCAX22R069,SBU229330,8,C,2025-2026
Aditi Das,BCAX22R070,SBU226107,8,C,2025-2026
Sanya Agarwal,BCAX22R071,SBU227246,8,C,2025-2026
Sanya Reddy,BCAX22R072,SBU225764,8,C,2025-2026
Simran Gupta,BCAX22R073,SBU224637,8,C,2025-2026
Sneha Ghosh,BCAX22R074,SBU229232,8,C,2025-2026
Jyoti Agarwal,BCAX22R075,SBU226559,8,C,2025-2026
Prateek Tiwari,BCAX22R076,SBU228578,8,D,2025-2026
Sanya Sen,BCAX22R077,SBU223811,8,D,2025-2026
Anjali Mishra,BCAX22R078,SBU221427,8,D,2025-2026
Yash Kaur,BCAX22R079,SBU225674,8,D,2025-2026
Tarun Sen,BCAX22R080,SBU220935,8,D,2025-2026
Karan Yadav,BCAX22R081,SBU227853,8,D,2025-2026
Harsh Roy,BCAX22R082,SBU221221,8,D,2025-2026
Ananya Bose,BCAX22R083,SBU227463,8,D,2025-2026
Jyoti Patel,BCAX22R084,SBU220522,8,D,2025-2026
Pooja Chauhan,BCAX22R085,SBU223924,8,D,2025-2026
Siddharth Rao,BCAX22R086,SBU221681,8,D,2025-2026
Garima Bhatia,BCAX22R087,SBU221058,8,D,2025-2026
Ananya Malhotra,BCAX22R088,SBU222226,8,D,2025-2026
Aarav Reddy,BCAX22R089,SBU227510,8,D,2025-2026
Shruti Pandey,BCAX22R090,SBU225211,8,D,2025-2026
Prateek Malhotra,BCAX22R091,SBU228599,8,D,2025-2026
Mohit Singh,BCAX22R092,SBU226620,8,D,2025-2026
Ishita Agarwal,BCAX22R093,SBU228383,8,D,2025-2026
Simran Sen,BCAX22R094,SBU228410,8,D,2025-2026
Gaurav Joshi,BCAX22R095,SBU222148,8,D,2025-2026
Akash Mehta,BCAX22R096,SBU228375,8,D,2025-2026
Simran Das,BCAX22R097,SBU220632,8,D,2025-2026
Tanvi Yadav,BCAX22R098,SBU223256,8,D,2025-2026
Ravi Sen,BCAX22R099,SBU221496,8,D,2025-2026
Manish Ghosh,BCAX22R100,SBU229781,8,D,2025-2026
