Name,Roll No,Reg No,Semester,Section,Year
Rahul Jain,BTCS22R001,SBU228147,8,A,2025-2026
Kavya Mishra,BTCS22R002,SBU221170,8,A,2025-2026
Yash Das,BTCS22R003,SBU227484,8,A,2025-2026
Shruti Kumar,BTCS22R004,SBU227962,8,A,2025-2026
Riya Gupta,BTCS22R005,SBU223404,8,A,2025-2026
Garima Chauhan,BTCS22R006,SBU221991,8,A,2025-2026
Nitin Singh,BTCS22R007,SBU228938,8,A,2025-2026
Yash Verma,BTCS22R008,SBU226427,8,A,2025-2026
Harsh Das,BTCS22R009,SBU222860,8,A,2025-2026
Harsh Kaur,BTCS22R010,SBU221834,8,A,2025-2026
Rohit Sharma,BTCS22R011,SBU220716,8,A,2025-2026
Riya Rajput,BTCS22R012,SBU228472,8,A,2025-2026
Karan Singh,BTCS22R013,SBU224292,8,A,2025-2026
Nisha Kapoor,BTCS22R014,SBU220921,8,A,2025-2026
Shreya Joshi,BTCS22R015,SBU227895,8,A,2025-2026
Nisha Tiwari,BTCS22R016,SBU225420,8,A,2025-2026
Prateek Ghosh,BTCS22R017,SBU220008,8,A,2025-2026
Harsh Mishra,BTCS22R018,SBU228175,8,A,2025-2026
Rohit Rao,BTCS22R019,SBU228901,8,A,2025-2026
Jyoti Reddy,BTCS22R020,SBU222173,8,A,2025-2026
Vikram Kapoor,BTCS22R021,SBU221331,8,A,2025-2026
Tarun Bhatia,BTCS22R022,SBU227254,8,A,2025-2026
Divya Yadav,BTCS22R023,SBU220178,8,A,2025-2026
Simran Patel,BTCS22R024,SBU227804,8,A,2025-2026
Kavya Sharma,BTCS22R025,SBU228261,8,A,2025-2026
Arjun Reddy,BTCS22R026,SBU223110,8,B,2025-2026
Aditi Chopra,BTCS22R027,SBU228874,8,B,2025-2026
Yash Jain,BTCS22R028,SBU226150,8,B,2025-2026
Ananya Agarwal,BTCS22R029,SBU221052,8,B,2025-2026
Sameer Mishra,BTCS22R030,SBU229145,8,B,2025-2026
Arjun Rao,BTCS22R031,SBU227213,8,B,2025-2026
Kritika Das,BTCS22R032,SBU223109,8,B,2025-2026
Anjali Chauhan,BTCS22R033,SBU221929,8,B,2025-2026
Amit Bose,BTCS22R034,SBU223050,8,B,2025-2026
Jyoti Chopra,BTCS22R035,SBU222148,8,B,2025-2026
Sanya Tiwari,BTCS22R036,SBU226346,8,B,2025-2026
Gaurav Gupta,BTCS22R037,SBU228921,8,B,2025-2026
Shruti Chauhan,BTCS22R038,SBU225413,8,B,2025-2026
Ishita Reddy,BTCS22R039,SBU222411,8,B,2025-2026
Ravi Bansal,BTCS22R040,SBU229745,8,B,2025-2026
Sahil Roy,BTCS22R041,SBU224026,8,B,2025-2026
Kunal Yadav,BTCS22R042,SBU220959,8,B,2025-2026
Divya Kapoor,BTCS22R043,SBU222953,8,B,2025-2026
Karan Rajput,BTCS22R044,SBU228862,8,B,2025-2026
Tanvi Joshi,BTCS22R045,SBU226512,8,B,2025-2026
Jyoti Chauhan,BTCS22R046,SBU227648,8,B,2025-2026
Mohit Singh,BTCS22R047,SBU222947,8,B,2025-2026
Swati Yadav,BTCS22R048,SBU220418,8,B,2025-2026
Kritika Jain,BTCS22R049,SBU220703,8,B,2025-2026
Nisha Bose,BTCS22R050,SBU227600,8,B,2025-2026
Tanvi Das,BTCS22R051,SBU220175,8,C,2025-2026
Shruti Verma,BTCS22R052,SBU222655,8,C,2025-2026
Aarav Mishra,BTCS22R053,SBU228433,8,C,2025-2026
Rahul Joshi,BTCS22R054,SBU228582,8,C,2025-2026
Sneha Yadav,BTCS22R055,SBU226436,8,C,2025-2026
Shreya Tiwari,BTCS22R056,SBU225097,8,C,2025-2026
Saurabh Mehta,BTCS22R057,SBU224648,8,C,2025-2026
Ishita Mishra,BTCS22R058,SBU225852,8,C,2025-2026
Manish Pandey,BTCS22R059,SBU226608,8,C,2025-2026
Rohit Verma,BTCS22R060,SBU228740,8,C,2025-2026
Aarav Joshi,BTCS22R061,SBU221193,8,C,2025-2026
Anjali Yadav,BTCS22R062,SBU221659,8,C,2025-2026
Naveen Tiwari,BTCS22R063,SBU222683,8,C,2025-2026
Riya Verma,BTCS22R064,SBU225602,8,C,2025-2026
Naveen Rao,BTCS22R065,SBU223959,8,C,2025-2026
Shruti Rao,BTCS22R066,SBU228090,8,C,2025-2026
Nikita Yadav,BTCS22R067,SBU225422,8,C,2025-2026
Karan Desai,BTCS22R068,SBU222392,8,C,2025-2026
Tarun Bose,BTCS22R069,SBU224972,8,C,2025-2026
Gaurav Agarwal,BTCS22R070,SBU226657,8,C,2025-2026
Divya Bose,BTCS22R071,SBU221670,8,C,2025-2026
Varun Ghosh,BTCS22R072,SBU224999,8,C,2025-2026
Akash Rajput,BTCS22R073,SBU226563,8,C,2025-2026
Neha Desai,BTCS22R074,SBU220398,8,C,2025-2026
Anjali Reddy,BTCS22R075,SBU222069,8,C,2025-2026
Siddharth Mishra,BTCS22R076,SBU220505,8,D,2025-2026
Priya Tiwari,BTCS22R077,SBU223955,8,D,2025-2026
Nikita Pandey,BTCS22R078,SBU221480,8,D,2025-2026
Saurabh Kumar,BTCS22R079,SBU228822,8,D,2025-2026
Gaurav Yadav,BTCS22R080,SBU223093,8,D,2025-2026
Riya Kumar,BTCS22R081,SBU223764,8,D,2025-2026
Kavya Gupta,BTCS22R082,SBU227381,8,D,2025-2026
Sakshi Verma,BTCS22R083,SBU223436,8,D,2025-2026
Pooja Pandey,BTCS22R084,SBU223862,8,D,2025-2026
Divya Chauhan,BTCS22R085,SBU225264,8,D,2025-2026
Harsh Malhotra,BTCS22R086,SBU228707,8,D,2025-2026
Ananya Pandey,BTCS22R087,SBU224585,8,D,2025-2026
Rohit Reddy,BTCS22R088,SBU221835,8,D,2025-2026
Varun Verma,BTCS22R089,SBU229344,8,D,2025-2026
Varun Joshi,BTCS22R090,SBU221639,8,D,2025-2026
Arjun Singh,BTCS22R091,SBU225161,8,D,2025-2026
Garima Agarwal,BTCS22R092,SBU228407,8,D,2025-2026
Kavya Bansal,BTCS22R093,SBU224268,8,D,2025-2026
Gaurav Singh,BTCS22R094,SBU224196,8,D,2025-2026
Aarav Chopra,BTCS22R095,SBU229548,8,D,2025-2026
Kunal Chopra,BTCS22R096,SBU229835,8,D,2025-2026
Tarun Chauhan,BTCS22R097,SBU221165,8,D,2025-2026
Aditi Das,BTCS22R098,SBU221134,8,D,2025-2026
Amit Chauhan,BTCS22R099,SBU220180,8,D,2025-2026
Vikram Kaur,BTCS22R100,SBU222807,8,D,2025-2026
