Name,Roll No,Reg No,Semester,Section,Year
Priya Roy,BTME22R001,SBU229036,8,A,2025-2026
Nisha Joshi,BTME22R002,SBU221487,8,A,2025-2026
Aarav Jain,BTME22R003,SBU224298,8,A,2025-2026
Anjali Chopra,BTME22R004,SBU227028,8,A,2025-2026
Vikram Malhotra,BTME22R005,SBU221585,8,A,2025-2026
Saurabh Mishra,BTME22R006,SBU224148,8,A,2025-2026
Prateek Bhatia,BTME22R007,SBU221982,8,A,2025-2026
Vikram Ghosh,BTME22R008,SBU226691,8,A,2025-2026
Tarun Joshi,BTME22R009,SBU222060,8,A,2025-2026
Ananya Kumar,BTME22R010,SBU223714,8,A,2025-2026
Nisha Verma,BTME22R011,SBU222678,8,A,2025-2026
Vikram Agarwal,BTME22R012,SBU226721,8,A,2025-2026
Aditi Das,BTME22R013,SBU223250,8,A,2025-2026
Rohit Kapoor,BTME22R014,SBU224119,8,A,2025-2026
Richa Pandey,BTME22R015,SBU227719,8,A,2025-2026
Nitin Kapoor,BTME22R016,SBU223430,8,A,2025-2026
Vikram Patel,BTME22R017,SBU226794,8,A,2025-2026
Harsh Rao,BTME22R018,SBU221116,8,A,2025-2026
Aarav Ghosh,BTME22R019,SBU221570,8,A,2025-2026
Kunal Jain,BTME22R020,SBU221485,8,A,2025-2026
Richa Sharma,BTME22R021,SBU222220,8,A,2025-2026
Swati Roy,BTME22R022,SBU226686,8,A,2025-2026
Richa Jain,BTME22R023,SBU222271,8,A,2025-2026
Kunal Mishra,BTME22R024,SBU228664,8,A,2025-2026
Megha Sharma,BTME22R025,SBU229593,8,A,2025-2026
Ananya Yadav,BTME22R026,SBU227058,8,B,2025-2026
Varun Mishra,BTME22R027,SBU221795,8,B,2025-2026
Jyoti Chauhan,BTME22R028,SBU227469,8,B,2025-2026
Ananya Verma,BTME22R029,SBU228430,8,B,2025-2026
Yash Tiwari,BTME22R030,SBU221951,8,B,2025-2026
Nisha Chauhan,BTME22R031,SBU229259,8,B,2025-2026
Amit Jain,BTME22R032,SBU227639,8,B,2025-2026
Divya Roy,BTME22R033,SBU227699,8,B,2025-2026
Sanya Singh,BTME22R034,SBU227818,8,B,2025-2026
Amit Rajput,BTME22R035,SBU228599,8,B,2025-2026
Riya Patel,BTME22R036,SBU226374,8,B,2025-2026
Divya Reddy,BTME22R037,SBU223400,8,B,2025-2026
Prateek Chopra,BTME22R038,SBU228606,8,B,2025-2026
Sameer Jain,BTME22R039,SBU227909,8,B,2025-2026
Priya Gupta,BTME22R040,SBU226943,8,B,2025-2026
Sanya Pandey,BTME22R041,SBU224603,8,B,2025-2026
Amit Pandey,BTME22R042,SBU225966,8,B,2025-2026
Vikram Kaur,BTME22R043,SBU221338,8,B,2025-2026
Kritika Sharma,BTME22R044,SBU227315,8,B,2025-2026
Siddharth Gupta,BTME22R045,SBU226002,8,B,2025-2026
Kritika Rao,BTME22R046,SBU226028,8,B,2025-2026
Shreya Singh,BTME22R047,SBU228222,8,B,2025-2026
Sneha Gupta,BTME22R048,SBU221779,8,B,2025-2026
Divya Chopra,BTME22R049,SBU220745,8,B,2025-2026
Gaurav Kaur,BTME22R050,SBU226924,8,B,2025-2026
Neha Ghosh,BTME22R051,SBU229707,8,C,2025-2026
Varun Tiwari,BTME22R052,SBU225942,8,C,2025-2026
Sameer Yadav,BTME22R053,SBU228397,8,C,2025-2026
Garima Sen,BTME22R054,SBU220576,8,C,2025-2026
Yash Jain,BTME22R055,SBU222458,8,C,2025-2026
Rohan Sharma,BTME22R056,SBU229582,8,C,2025-2026
Anjali Desai,BTME22R057,SBU220709,8,C,2025-2026
Ishita Chauhan,BTME22R058,SBU228034,8,C,2025-2026
Riya Kapoor,BTME22R059,SBU220237,8,C,2025-2026
Richa Mehta,BTME22R060,SBU223080,8,C,2025-2026
Kavya Patel,BTME22R061,SBU225003,8,C,2025-2026
Saurabh Agarwal,BTME22R062,SBU229439,8,C,2025-2026
Megha Das,BTME22R063,SBU220132,8,C,2025-2026
Manish Pandey,BTME22R064,SBU221268,8,C,2025-2026
Sameer Das,BTME22R065,SBU228641,8,C,2025-2026
Simran Joshi,BTME22R066,SBU229541,8,C,2025-2026
Ravi Chopra,BTME22R067,SBU220564,8,C,2025-2026
Kritika Agarwal,BTME22R068,SBU222323,8,C,2025-2026
Kavya Yadav,BTME22R069,SBU220101,8,C,2025-2026
Kavya Rao,BTME22R070,SBU224090,8,C,2025-2026
Yash Roy,BTME22R071,SBU221768,8,C,2025-2026
Rohan Rajput,BTME22R072,SBU223914,8,C,2025-2026
Ananya Bhatia,BTME22R073,SBU225487,8,C,2025-2026
Sahil Patel,BTME22R074,SBU220592,8,C,2025-2026
Priya Verma,BTME22R075,SBU222018,8,C,2025-2026
Simran Jain,BTME22R076,SBU228018,8,D,2025-2026
Aarav Bhatia,BTME22R077,SBU226980,8,D,2025-2026
Nitin Sen,BTME22R078,SBU228094,8,D,2025-2026
Kritika Joshi,BTME22R079,SBU224027,8,D,2025-2026
Neha Bhatia,BTME22R080,SBU220083,8,D,2025-2026
Neha Verma,BTME22R081,SBU220074,8,D,2025-2026
Anjali Gupta,BTME22R082,SBU228154,8,D,2025-2026
Riya Sen,BTME22R083,SBU220235,8,D,2025-2026
Prateek Sharma,BTME22R084,SBU227513,8,D,2025-2026
Rohan Chauhan,BTME22R085,SBU223354,8,D,2025-2026
Saurabh Singh,BTME22R086,SBU223699,8,D,2025-2026
Amit Mishra,BTME22R087,SBU227574,8,D,2025-2026
Divya Yadav,BTME22R088,SBU229302,8,D,2025-2026
Akash Agarwal,BTME22R089,SBU226462,8,D,2025-2026
Kritika Bansal,BTME22R090,SBU220279,8,D,2025-2026
Shruti Reddy,BTME22R091,SBU224310,8,D,2025-2026
Rohit Bose,BTME22R092,SBU222314,8,D,2025-2026
Megha Desai,BTME22R093,SBU229192,8,D,2025-2026
Simran Sen,BTME22R094,SBU227926,8,D,2025-2026
Aditi Patel,BTME22R095,SBU224294,8,D,2025-2026
Mohit Mishra,BTME22R096,SBU221376,8,D,2025-2026
Kunal Bhatia,BTME22R097,SBU227204,8,D,2025-2026
Akash Sen,BTME22R098,SBU228771,8,D,2025-2026
Priya Bansal,BTME22R099,SBU229423,8,D,2025-2026
Naveen Chopra,BTME22R100,SBU225752,8,D,2025-2026
