Name,Roll No,Reg No,Semester,Section,Year
Aditi Jain,MBAX24R001,SBU242944,3,A,2025-2026
Shreya Chopra,MBAX24R002,SBU249360,3,A,2025-2026
Nikita Patel,MBAX24R003,SBU245727,3,A,2025-2026
Tarun Chauhan,MBAX24R004,SBU245867,3,A,2025-2026
Anjali Kumar,MBAX24R005,SBU245221,3,A,2025-2026
Harsh Kaur,MBAX24R006,SBU249847,3,A,2025-2026
Simran Yadav,MBAX24R007,SBU249557,3,A,2025-2026
Richa Kumar,MBAX24R008,SBU248097,3,A,2025-2026
Aarav Singh,MBAX24R009,SBU243379,3,A,2025-2026
Varun Mishra,MBAX24R010,SBU243280,3,A,2025-2026
Harsh Sharma,MBAX24R011,SBU240617,3,A,2025-2026
Akash Verma,MBAX24R012,SBU244807,3,A,2025-2026
Richa Verma,MBAX24R013,SBU245426,3,A,2025-2026
Yash Chauhan,MBAX24R014,SBU248425,3,A,2025-2026
Neha Yadav,MBAX24R015,SBU245667,3,A,2025-2026
Sakshi Chopra,MBAX24R016,SBU241345,3,A,2025-2026
Simran Rajput,MBAX24R017,SBU245542,3,A,2025-2026
Rohan Kapoor,MBAX24R018,SBU241172,3,A,2025-2026
Nikita Rao,MBAX24R019,SBU240581,3,A,2025-2026
Karan Desai,MBAX24R020,SBU240663,3,A,2025-2026
Shruti Gupta,MBAX24R021,SBU241439,3,A,2025-2026
Kritika Kaur,MBAX24R022,SBU241048,3,A,2025-2026
Vikram Tiwari,MBAX24R023,SBU240253,3,A,2025-2026
Prateek Bansal,MBAX24R024,SBU247369,3,A,2025-2026
Saurabh Joshi,MBAX24R025,SBU241719,3,A,2025-2026
Amit Kapoor,MBAX24R026,SBU242388,3,B,2025-2026
Rohit Kumar,MBAX24R027,SBU242456,3,B,2025-2026
Kritika Sen,MBAX24R028,SBU246332,3,B,2025-2026
Amit Joshi,MBAX24R029,SBU240440,3,B,2025-2026
Mohit Mehta,MBAX24R030,SBU248946,3,B,2025-2026
Rohit Kapoor,MBAX24R031,SBU245461,3,B,2025-2026
Simran Reddy,MBAX24R032,SBU244779,3,B,2025-2026
Siddharth Rao,MBAX24R033,SBU240231,3,B,2025-2026
Ravi Bose,MBAX24R034,SBU244992,3,B,2025-2026
Divya Bhatia,MBAX24R035,SBU241354,3,B,2025-2026
Nisha Rao,MBAX24R036,SBU248812,3,B,2025-2026
Tanvi Patel,MBAX24R037,SBU240744,3,B,2025-2026
Shreya Bansal,MBAX24R038,SBU249400,3,B,2025-2026
Sakshi Kapoor,MBAX24R039,SBU244642,3,B,2025-2026
Vikram Bansal,MBAX24R040,SBU245386,3,B,2025-2026
Manish Patel,MBAX24R041,SBU243742,3,B,2025-2026
Naveen Reddy,MBAX24R042,SBU241723,3,B,2025-2026
Simran Sharma,MBAX24R043,SBU245453,3,B,2025-2026
Priya Pandey,MBAX24R044,SBU247077,3,B,2025-2026
Simran Ghosh,MBAX24R045,SBU249905,3,B,2025-2026
Nitin Chauhan,MBAX24R046,SBU244726,3,B,2025-2026
Gaurav Chopra,MBAX24R047,SBU248242,3,B,2025-2026
Shreya Bhatia,MBAX24R048,SBU244958,3,B,2025-2026
Varun Kumar,MBAX24R049,SBU244797,3,B,2025-2026
Kunal Mehta,MBAX24R050,SBU240612,3,B,2025-2026
Aarav Tiwari,MBAX24R051,SBU246879,3,C,2025-2026
Siddharth Roy,MBAX24R052,SBU243423,3,C,2025-2026
Naveen Rajput,MBAX24R053,SBU244885,3,C,2025-2026
Richa Bose,MBAX24R054,SBU248840,3,C,2025-2026
Tarun Sen,MBAX24R055,SBU243806,3,C,2025-2026
Yash Joshi,MBAX24R056,SBU246143,3,C,2025-2026
Shreya Verma,MBAX24R057,SBU245372,3,C,2025-2026
Shruti Kapoor,MBAX24R058,SBU246431,3,C,2025-2026
Aarav Kaur,MBAX24R059,SBU246802,3,C,2025-2026
Riya Joshi,MBAX24R060,SBU242838,3,C,2025-2026
Anjali Agarwal,MBAX24R061,SBU240029,3,C,2025-2026
Shruti Das,MBAX24R062,SBU240227,3,C,2025-2026
Simran Joshi,MBAX24R063,SBU242208,3,C,2025-2026
Nisha Mishra,MBAX24R064,SBU244890,3,C,2025-2026
Sanya Roy,MBAX24R065,SBU246915,3,C,2025-2026
Manish Chopra,MBAX24R066,SBU240090,3,C,2025-2026
Yash Pandey,MBAX24R067,SBU243285,3,C,2025-2026
Arjun Yadav,MBAX24R068,SBU240448,3,C,2025-2026
Rahul Agarwal,MBAX24R069,SBU244644,3,C,2025-2026
Ishita Yadav,MBAX24R070,SBU248514,3,C,2025-2026
Harsh Pandey,MBAX24R071,SBU248796,3,C,2025-2026
Megha Mishra,MBAX24R072,SBU240264,3,C,2025-2026
Megha Tiwari,MBAX24R073,SBU247107,3,C,2025-2026
Harsh Yadav,MBAX24R074,SBU247953,3,C,2025-2026
Kritika Joshi,MBAX24R075,SBU244851,3,C,2025-2026
Siddharth Verma,MBAX24R076,SBU243501,3,D,2025-2026
Nikita Das,MBAX24R077,SBU247597,3,D,2025-2026
Saurabh Kaur,MBAX24R078,SBU245695,3,D,2025-2026
Neha Verma,MBAX24R079,SBU248837,3,D,2025-2026
Prateek Joshi,MBAX24R080,SBU246921,3,D,2025-2026
Rohit Roy,MBAX24R081,SBU249811,3,D,2025-2026
Aarav Ghosh,MBAX24R082,SBU245927,3,D,2025-2026
Rohan Rajput,MBAX24R083,SBU244053,3,D,2025-2026
Nitin Mehta,MBAX24R084,SBU241175,3,D,2025-2026
Naveen Roy,MBAX24R085,SBU243000,3,D,2025-2026
Shruti Reddy,MBAX24R086,SBU249704,3,D,2025-2026
Rohan Ghosh,MBAX24R087,SBU248870,3,D,2025-2026
Harsh Kapoor,MBAX24R088,SBU245997,3,D,2025-2026
