Name,Roll No,Reg No,Semester,Section,Year
Sahil Chauhan,MCAX24R001,SBU240297,3,A,2025-2026
Siddharth Rajput,MCAX24R002,SBU249256,3,A,2025-2026
Rohit Malhotra,MCAX24R003,SBU245855,3,A,2025-2026
Shruti Kaur,MCAX24R004,SBU246771,3,A,2025-2026
Jyoti Jain,MCAX24R005,SBU242817,3,A,2025-2026
Arjun Bansal,MCAX24R006,SBU243367,3,A,2025-2026
Siddharth Verma,MCAX24R007,SBU242028,3,A,2025-2026
Ravi Patel,MCAX24R008,SBU240912,3,A,2025-2026
Riya Sen,MCAX24R009,SBU245041,3,A,2025-2026
Gaurav Bose,MCAX24R010,SBU241649,3,A,2025-2026
Sakshi Mehta,MCAX24R011,SBU242991,3,A,2025-2026
Ravi Joshi,MCAX24R012,SBU240094,3,A,2025-2026
Harsh Bose,MCAX24R013,SBU241162,3,A,2025-2026
Naveen Rajput,MCAX24R014,SBU248188,3,A,2025-2026
Kunal Bose,MCAX24R015,SBU244373,3,A,2025-2026
Aarav Kapoor,MCAX24R016,SBU249263,3,A,2025-2026
Amit Rao,MCAX24R017,SBU245686,3,A,2025-2026
Karan Yadav,MCAX24R018,SBU245863,3,A,2025-2026
Garima Bansal,MCAX24R019,SBU242142,3,A,2025-2026
Sahil Verma,MCAX24R020,SBU244052,3,A,2025-2026
Rohan Agarwal,MCAX24R021,SBU248988,3,A,2025-2026
Swati Pandey,MCAX24R022,SBU245539,3,A,2025-2026
Neha Jain,MCAX24R023,SBU240072,3,A,2025-2026
Prateek Pandey,MCAX24R024,SBU245965,3,A,2025-2026
Sameer Chopra,MCAX24R025,SBU249431,3,A,2025-2026
Anjali Ghosh,MCAX24R026,SBU244033,3,B,2025-2026
Amit Pandey,MCAX24R027,SBU240417,3,B,2025-2026
Akash Pandey,MCAX24R028,SBU241552,3,B,2025-2026
Naveen Desai,MCAX24R029,SBU241526,3,B,2025-2026
Priya Jain,MCAX24R030,SBU248294,3,B,2025-2026
Saurabh Chopra,MCAX24R031,SBU249849,3,B,2025-2026
Prateek Mehta,MCAX24R032,SBU247417,3,B,2025-2026
Varun Sen,MCAX24R033,SBU242930,3,B,2025-2026
Rohan Reddy,MCAX24R034,SBU243790,3,B,2025-2026
Rohan Mishra,MCAX24R035,SBU246289,3,B,2025-2026
Divya Bhatia,MCAX24R036,SBU242434,3,B,2025-2026
Jyoti Rajput,MCAX24R037,SBU248420,3,B,2025-2026
Sneha Reddy,MCAX24R038,SBU248061,3,B,2025-2026
Shreya Desai,MCAX24R039,SBU246121,3,B,2025-2026
Mohit Joshi,MCAX24R040,SBU241308,3,B,2025-2026
Akash Agarwal,MCAX24R041,SBU249970,3,B,2025-2026
Varun Pandey,MCAX24R042,SBU247885,3,B,2025-2026
Ananya Ghosh,MCAX24R043,SBU245352,3,B,2025-2026
Swati Kumar,MCAX24R044,SBU240286,3,B,2025-2026
Sakshi Singh,MCAX24R045,SBU243945,3,B,2025-2026
Aarav Tiwari,MCAX24R046,SBU248302,3,B,2025-2026
Pooja Roy,MCAX24R047,SBU248389,3,B,2025-2026
Rahul Yadav,MCAX24R048,SBU243541,3,B,2025-2026
Gaurav Das,MCAX24R049,SBU243653,3,B,2025-2026
Naveen Mehta,MCAX24R050,SBU247754,3,B,2025-2026
Varun Chauhan,MCAX24R051,SBU242660,3,C,2025-2026
Richa Mehta,MCAX24R052,SBU247942,3,C,2025-2026
Neha Chopra,MCAX24R053,SBU245847,3,C,2025-2026
Sneha Chopra,MCAX24R054,SBU245797,3,C,2025-2026
Anjali Sharma,MCAX24R055,SBU242818,3,C,2025-2026
Tarun Rao,MCAX24R056,SBU241856,3,C,2025-2026
Manish Patel,MCAX24R057,SBU249500,3,C,2025-2026
Priya Chauhan,MCAX24R058,SBU240642,3,C,2025-2026
Prateek Rao,MCAX24R059,SBU248678,3,C,2025-2026
Ananya Das,MCAX24R060,SBU244320,3,C,2025-2026
Anjali Yadav,MCAX24R061,SBU246773,3,C,2025-2026
Harsh Bansal,MCAX24R062,SBU246630,3,C,2025-2026
Akash Verma,MCAX24R063,SBU248903,3,C,2025-2026
Manish Sen,MCAX24R064,SBU244890,3,C,2025-2026
Varun Agarwal,MCAX24R065,SBU240446,3,C,2025-2026
Megha Mehta,MCAX24R066,SBU244170,3,C,2025-2026
Akash Joshi,MCAX24R067,SBU249868,3,C,2025-2026
Nikita Bansal,MCAX24R068,SBU241433,3,C,2025-2026
Riya Mehta,MCAX24R069,SBU243121,3,C,2025-2026
Aarav Kaur,MCAX24R070,SBU247868,3,C,2025-2026
Divya Mehta,MCAX24R071,SBU244073,3,C,2025-2026
Kritika Agarwal,MCAX24R072,SBU243380,3,C,2025-2026
Swati Singh,MCAX24R073,SBU242069,3,C,2025-2026
Nitin Chauhan,MCAX24R074,SBU246673,3,C,2025-2026
Karan Tiwari,MCAX24R075,SBU248084,3,C,2025-2026
Simran Agarwal,MCAX24R076,SBU240519,3,D,2025-2026
Ananya Pandey,MCAX24R077,SBU240497,3,D,2025-2026
Jyoti Roy,MCAX24R078,SBU248549,3,D,2025-2026
Pooja Bose,MCAX24R079,SBU242941,3,D,2025-2026
Neha Malhotra,MCAX24R080,SBU246468,3,D,2025-2026
Sameer Patel,MCAX24R081,SBU247702,3,D,2025-2026
Ishita Kumar,MCAX24R082,SBU244095,3,D,2025-2026
Jyoti Bose,MCAX24R083,SBU247734,3,D,2025-2026
Harsh Joshi,MCAX24R084,SBU244332,3,D,2025-2026
Saurabh Ghosh,MCAX24R085,SBU240449,3,D,2025-2026
Swati Jain,MCAX24R086,SBU240169,3,D,2025-2026
Prateek Sen,MCAX24R087,SBU243558,3,D,2025-2026
Tarun Chauhan,MCAX24R088,SBU244330,3,D,2025-2026
Pooja Kaur,MCAX24R089,SBU242437,3,D,2025-2026
Naveen Verma,MCAX24R090,SBU241053,3,D,2025-2026
Tanvi Agarwal,MCAX24R091,SBU244606,3,D,2025-2026
Tanvi Gupta,MCAX24R092,SBU249717,3,D,2025-2026
Rohit Kaur,MCAX24R093,SBU244805,3,D,2025-2026
